title,company,location,status,applied_at,link,posted,posted_days_ago
E Learning Developer || Storyline,Niit Learning Systems,Remote,failed,N/A,https://www.naukri.com/job-listings-e-learning-developer-storyline-niit-learning-systems-gurugram-2-to-7-years-210526018983?src=drecomm_dashboard_apply,12d ago,
Back End Developer,Nxtwave Disruptive Technologies(Hiring for a client),Bengaluru,failed,N/A,https://www.naukri.com/job-listings-back-end-developer-nxtwave-disruptive-technologies-hiring-for-a-client-bengaluru-2-to-4-years-110826039852?src=drecomm_dashboard_apply,1d ago,
Gis Developer,Nexa Core HR Pvt. Ltd.,Kolkata(EP Block Sector 5 Salt Lake),failed,N/A,https://www.naukri.com/job-listings-gis-developer-nexa-core-hr-kolkata-2-to-5-years-300726033408?src=drecomm_dashboard_apply,13d ago,
Software Engineer,Capgemini,Bengaluru,failed,N/A,https://www.naukri.com/job-listings-software-engineer-capgemini-technology-services-india-limited-bengaluru-0-to-5-years-110826930912?src=drecomm_dashboard_apply,1d ago,
MERN stack Engineer (Developers),Nasu Group,Bengaluru,failed,N/A,https://www.naukri.com/job-listings-mern-stack-engineer-developers-nasugroup-bengaluru-0-to-3-years-120826926513?src=drecomm_dashboard_apply,1d ago,
Front End Developer (React.js / Angular | Vue.js),Medicca Press,Mumbai(Goregaon West),failed,N/A,https://www.naukri.com/job-listings-front-end-developer-react-js-angular-vue-js-medicca-press-mumbai-3-to-8-years-120826024841?src=drecomm_dashboard_apply,1d ago,
Back End Developer,Innovatione India,Gurugram,failed,N/A,https://www.naukri.com/job-listings-back-end-developer-innovatione-india-gurugram-0-to-3-years-120826025751?src=drecomm_dashboard_apply,1d ago,
Java Developer,Codincity Digital Technologies,"Chennai, Coimbatore",failed,N/A,https://www.naukri.com/job-listings-java-developer-codincity-digital-technologies-chennai-coimbatore-3-to-5-years-120826019152?src=drecomm_dashboard_apply,1d ago,
Associate Software Engineer - .Net with React,Coupa,Hybrid - Bengaluru,failed,N/A,https://www.naukri.com/job-listings-associate-software-engineer-net-with-react-coupa-bengaluru-1-to-3-years-120826017020?src=drecomm_dashboard_apply,1d ago,
"Backend Developer - Node JS, PostgreSQL",rigbot.com,Hybrid - Bengaluru,failed,N/A,https://www.naukri.com/job-listings-backend-developer-node-js-postgresql-rigbot-solutions-private-limited-bengaluru-3-to-6-years-110826008662?src=drecomm_dashboard_apply,2d ago,
